point,worker,worker_local_index,Mh,MH,MA,MHc,tanb,sinbma,mu212,alpha_mix,beta_mix,lam1,lam2,lam3,lam4,lam5,m11sq,m22sq,BFB_allowed,perturbative_allowed,unitarity_allowed,max_abs_unitarity_eigenvalue,scan_row,point_id,S,T,U,chi2_STU,STU_allowed,HB_allowed,HS_chi2,HS_allowed,combined_allowed,status,mapped_decay_count,unmapped_decay_count,error,lambda_source,lambda_max_diff,n_phases,n_raw_transitions,n_paths,path_index,PT_type,path_quality,phase_sequence,n_steps,step,transition_id,transition_key,subcritical,path_transition_T,Tc,gamma_Tc,vfalse_Tc,vtrue_Tc,delta_phi_Tc,vtrue_over_Tc,delta_phi_over_Tc,false_h1_Tc,false_h2_Tc,true_h1_Tc,true_h2_Tc,Tn,S3_over_Tn,nucleation_residual,alpha,beta_over_H,vfalse_Tn,vtrue_Tn,delta_phi_Tn,vtrue_over_Tn,delta_phi_over_Tn,false_h1_Tn,false_h2_Tn,true_h1_Tn,true_h2_Tn,wrapper_status
705055,2,205055,74.4467711784,125,409.395975214,408.680396705,4.51691522782,-0.0984792349061,342.11928109,1.45155966182,1.3529205503038835,1.464065131,0.267065212969,5.58630670863,-2.72346492154,-2.74281180073,-3986.6847056766073,-7797.245108055975,1,1,1,11.234515270449453,705055,705055,-0.0178157,-0.00329788,-3.46736e-05,0.7992076750858257,True,True,167.68108019668773,,True,NUCLEATED,38,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,84.8552114306,84.8552114306,2.56155763123,1.98453500679e-05,217.36149482,217.36151439,2.5615574006,2.56155763123,8.73834007228e-07,1.98261023261e-05,-45.4845633081,-212.549227077,59.0625588682,139.940604702,-0.0593952984479,0.108378287882,281.033926816,1.47688171147e-05,238.44517652,238.445190874,4.03716298597,4.037163229,-3.37525473058e-07,1.47649597196e-05,-50.8095770396,-232.96885862,OK
706743,2,206743,90.3716106966,125,407.134651799,413.669704827,3.48587781769,0.0550012156557,1072.94144726,1.23639786781,1.2914268522895969,1.13663362915,0.259572435808,5.73270535467,-2.84947262321,-2.67219719205,-4774.943527467502,-7434.674701806382,1,1,1,10.810109167537425,706743,706743,-0.0186875,0.0306734,0.000315028,0.614919109116936,True,True,169.30305319840647,,True,NUCLEATED,39,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,83.2335612357,83.2335612357,2.64092386134,1.77920014265e-05,219.813515681,219.813497932,2.64092407458,2.64092386134,6.44589376241e-06,1.65832978736e-05,65.1679834531,209.931216375,46.8851531402,140.065992535,0.0659925352665,0.280079577987,116.469844811,1.6054184598e-05,242.589334203,242.589318324,5.17411841393,5.17411807526,6.67526431242e-06,1.4600605791e-05,67.2509654299,233.081300661,OK
707795,2,207795,109.408757152,125,434.945356337,439.473238008,2.15362995107,0.277641674076,5743.02306989,0.854749371532,1.1360877682181556,0.109624929381,0.228666352779,6.21284382004,-3.00847665262,-2.87762649973,3647.018199425489,-4778.648781217366,1,1,1,9.926340639626744,707795,707795,-0.0187725,0.0229773,0.000210815,0.3554282669322813,True,True,180.70246895762355,,True,NUCLEATED,39,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,82.0698912609,82.0698912609,2.68024646491,1.38611186785e-05,219.967522069,219.967535928,2.68024629604,2.68024646491,-6.45575672221e-06,-1.22659616893e-05,98.8307969278,196.515099531,54.4610172224,139.999989749,-1.02507325721e-05,0.140403294865,277.997055728,2.92393756521e-06,240.123435629,240.12343855,4.40908833283,4.40908838646,-1.1305996735e-06,-2.69650797579e-06,102.3043247,217.239705132,OK
710755,2,210755,102.857022266,125,419.377195622,434.646776158,3.9729298723,-0.0145276782307,2153.26040078,1.33874328642,1.3242150971241284,0.635594753998,0.260341758326,6.17207807012,-3.18695340546,-2.75597357148,888.3743856731908,-7279.208343158636,1,1,1,10.518390871265522,710755,710755,-0.0198731,0.076638,0.000728384,5.795288562641433,True,True,168.0358862682165,,True,NUCLEATED,39,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,81.5603142572,81.5603142572,2.71634790291,1.42223406696e-05,221.54617522,221.546188594,2.71634773895,2.71634790291,1.27152790873e-06,-1.4165387072e-05,56.4771330381,214.226611789,48.4990608565,140.00005024,5.02402338896e-05,0.230764622077,145.949693539,7.76803239175e-06,242.087600916,242.087607302,4.99159358225,4.99159371393,2.72435803304e-06,-7.27462717582e-06,59.2782098644,234.717916557,OK
712193,2,212193,86.0493095226,125,414.179757349,412.685402971,2.3618106694,-0.428371333172,638.800977537,1.61296790308,1.1702783123975007,0.642462877235,0.298927874752,5.58323210242,-2.7644658342,-2.80530229307,-1791.9186315553793,-7461.419417355639,1,1,1,9.82987166162783,712193,712193,-0.0177874,-0.00697479,-7.13162e-05,1.020342110710798,True,True,203.96222013585754,,True,NUCLEATED,38,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,77.9265313416,77.9265313416,2.86320576917,2.34230583364e-05,223.119671014,223.119694109,2.86320547281,2.86320576917,-5.0676752926e-06,-2.28682821602e-05,83.9560378724,206.72148243,47.4564524659,139.998735273,-0.00126472725989,0.220443381262,208.602715282,5.22411975241e-06,242.082394657,242.082392738,5.10114814905,5.10114810861,-3.74143616882e-06,3.64596798973e-06,93.4497510595,223.318225476,OK
713701,2,213701,94.0626922892,125,383.072266192,372.19441695,6.40317133323,0.437012695463,494.798056462,0.963600382209,1.4158751282444886,5.47307828409,0.225838202466,4.86882871697,-2.09973323179,-2.3712540566,-12525.902347960611,-6880.052683790236,1,1,1,19.515978168361713,713701,713701,-0.0160241,-0.0440066,-0.000536376,5.617192399526096,True,True,166.8120956387274,,True,NUCLEATED,40,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,87.7096681141,87.7096681141,2.33432772973,8.24904996567e-06,204.743105598,204.743110444,2.33432767448,2.33432772973,-5.59943337276e-06,6.05748885596e-06,-40.0195326797,-200.79386518,58.3682646055,139.912616307,-0.0873836926538,0.109545290198,254.487660414,1.77941269938e-05,236.522096792,236.522109319,4.05223794798,4.0522381626,1.4526283976e-05,1.02770632634e-05,-38.9197839301,-233.297991182,OK
718156,2,218156,98.8945214208,125,525.989347122,110.36258567,5.12964610563,0.432364723691,973.432094736,0.931152167352,1.3782658210296448,3.10038807187,0.229032779993,0.563172868122,4.25487673911,-4.4861138409,-8117.278259349208,-6854.305207140681,1,1,1,22.531267869055142,718156,718156,0.0603546,0.0831674,0.00223197,4.209203463678636,True,True,171.34045296092086,,True,NUCLEATED,42,8,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,83.6432259839,83.6432259839,2.5801833571,1.50725556215e-05,215.814866209,215.814859617,2.58018343591,2.5801833571,-1.46708224488e-05,-3.45671833359e-06,-47.3602909121,-210.554171941,53.3078633701,140.062221408,0.0622214082987,0.155133794257,243.011075684,1.06402264298e-05,240.206694372,240.206701933,4.50602742609,4.50602756793,8.83138180331e-06,5.93473789822e-06,-47.4260321906,-235.47829516,OK
723063,2,223063,116.770512697,125,435.200853254,428.925585637,6.61459471485,0.308808316206,1920.92971189,1.10681186583,1.4207517217920096,0.981822989396,0.25245391766,5.95454192674,-2.73577159865,-2.9149845228,3055.7907570082534,-7383.049033862391,1,1,1,11.089738315585688,723063,723063,-0.0175025,-0.030762,-0.000289235,3.4057017530010416,True,True,166.04850183846438,,True,NUCLEATED,40,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,82.3831030905,82.3831030905,2.66190764007,1.07800157473e-05,219.296222297,219.296211529,2.66190777078,2.66190764007,-1.21227892089e-06,-1.07116347646e-05,-34.8382559932,-216.511267682,55.0031423998,139.956306953,-0.0436930468707,0.137233084973,280.941754542,1.40867204194e-05,239.726246773,239.726236162,4.35841001648,4.35840982356,-1.07636313215e-05,-9.08735016109e-06,-36.2661313619,-236.967173059,OK
726335,2,226335,40.7128227588,125,381.97625218,397.462454794,8.31262245917,0.0877307086317,83.3088040888,1.36322903639,1.451072675755969,1.80497007594,0.251820793524,5.60186886923,-2.79834113477,-2.399420329,-12139.638976451146,-7675.304966366351,1,1,1,11.807474170666447,726335,726335,-0.0195121,0.069114,0.000776179,4.522430691270496,True,True,166.60207073372962,,True,NUCLEATED,39,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,80.8368455717,80.8368455717,2.72261635455,1.80502472225e-05,220.087734802,220.087717803,2.72261656483,2.72261635455,-9.52940513595e-06,-1.53297704663e-05,-46.5516890059,-215.108231504,49.2140042396,139.292525074,-0.707474925815,0.226356641856,153.341817221,2.12966072201e-05,241.735370407,241.735364384,4.91192241197,4.91192228958,1.94520342376e-05,-8.66970836339e-06,-31.9433036227,-239.615555963,OK
727232,2,227232,116.336698299,125,435.842147657,430.960978262,9.08595404984,0.366653156284,1518.36816818,1.08576844267,1.4611775288986917,0.266312526899,0.250927849361,6.03843683344,-2.76841524397,-2.90824645853,2883.8018093668816,-7465.604921803915,1,1,1,10.08434759289745,727232,727232,-0.0176772,-0.0240855,-0.000224824,2.5618681991173515,True,True,165.60288829789545,,True,NUCLEATED,40,7,,CSV_VERIFIED,0,2,1,1,0,1_STEP,CLEAN,0->1,1,1,0,0,0,80.6628979811,80.6628979811,2.75824732229,1.19432483964e-05,222.488221568,222.488222365,2.75824731241,2.75824732229,1.19268125147e-05,-6.26358920371e-07,-26.467946214,-220.908253715,45.7028481425,139.941185868,-0.058814132197,0.286334691102,142.021304662,5.10437059313e-06,242.866234534,242.866239627,5.31402843378,5.31402854522,2.21956979665e-07,5.09954255313e-06,-26.7930950119,-241.383797999,OK
